house_id,size_sqft,price_ugx
H001,661,150000
H002,712,153000
H003,723,158000
H004,744,186000
H005,769,165000
H006,777,183000
H007,784,161000
H008,790,171000
H009,797,185000
H010,876,117000
H011,881,161000
H012,943,164000
H013,959,160000
H014,971,175000
H015,1015,249000
H016,1033,162000
H017,1046,233000
H018,1063,135000
H019,1128,196000
H020,1129,215000
H021,1255,249000
H022,1346,267000
H023,1380,275000
H024,1392,234000
H025,1454,238000
H026,1477,292000
H027,1484,253000
H028,1494,213000
H029,1495,219000
H030,1576,239000
H031,1597,295000
H032,1654,290000
H033,1664,313000
H034,1669,271000
H035,1680,295000
H036,1686,313000
H037,1698,279000
H038,1698,309000
H039,1730,271000
H040,1740,284000
H041,1747,284000
H042,1763,255000
H043,1819,327000
H044,1825,292000
H045,1858,315000
H046,1892,338000
H047,1940,343000
H048,1943,352000
H049,1964,326000
H050,1989,317000
H051,2155,354000
H052,2160,294000
H053,2191,308000
H054,2219,316000
H055,2258,335000
H056,2278,391000
H057,2291,343000
H058,2300,364000
H059,2328,432000
H060,2335,370000
H061,2336,412000
H062,2379,354000
H063,2426,389000
H064,2445,363000
H065,2449,387000
H066,2483,437000
H067,2487,340000
H068,2490,423000
H069,2508,418000
H070,2523,388000
H071,2534,357000
H072,2542,416000
H073,2554,395000
H074,2578,428000
H075,2648,430000
H076,2660,492000
H077,2672,423000
H078,2673,394000
H079,2691,442000
H080,2738,450000
H081,2739,494000
H082,2814,485000
H083,2827,468000
H084,2859,515000
H085,2902,421000
H086,2913,443000
H087,2947,437000
H088,3017,468000
H089,3025,431000
H090,3037,510000
