house_id,size_sqft,bedrooms,age_years,frontage_ft,depth_ft,distance_city_km,price_ugx
W3H001,3162,5,64,43.8,163.1,17.6,1047000
W3H002,1177,2,28,54.3,165.8,17.4,526000
W3H003,727,1,29,36.1,72.3,21,368000
W3H004,2537,3,52,84.3,113.1,20.6,785000
W3H005,1728,3,62,61.6,161.2,1.5,708000
W3H006,2028,2,11,92.6,132.3,6.1,828000
W3H007,885,2,30,39.4,162.6,14.2,412000
W3H008,1742,3,8,88,131.7,10.3,733000
W3H009,2548,2,49,53.4,86.8,22.1,823000
W3H010,1697,1,48,45.4,120.3,31.7,581000
W3H011,3101,4,9,72.7,121.8,9.6,1052000
W3H012,2982,5,62,32,167.3,26.2,953000
W3H013,2728,6,68,64.2,102.7,12.8,830000
W3H014,3320,5,61,60.8,88.2,23.6,973000
W3H015,2777,4,56,33.2,149.9,4.2,895000
W3H016,1173,1,51,58.2,110.3,20.5,502000
W3H017,3182,4,19,49.8,118.1,17.4,1028000
W3H018,2575,2,68,46.2,177.2,26.8,803000
W3H019,940,1,21,90.5,141,5.1,501000
W3H020,1529,3,36,68.9,140.6,17.4,642000
W3H021,1138,1,49,40,172.1,27.8,460000
W3H022,3502,6,54,79.2,146,22.7,1114000
W3H023,2797,4,22,54,174.6,6.4,939000
W3H024,3363,5,29,68.9,136,27.5,995000
W3H025,1483,3,33,54.7,130.5,8.5,637000
W3H026,2525,4,24,71.5,94.1,3.7,952000
W3H027,2432,5,22,74.3,87.7,4.1,920000
W3H028,2870,4,63,48.4,123.8,25.4,899000
W3H029,998,1,16,84,67.1,27.1,346000
W3H030,2169,3,30,70.2,80.2,28.4,698000
W3H031,2551,3,10,69.3,145,24.5,873000
W3H032,3086,5,52,44.2,141.5,28.8,922000
W3H033,2585,5,56,46.5,63.4,29.8,711000
W3H034,1972,2,34,55.7,79.6,17.9,711000
W3H035,2007,4,4,32.2,134.1,20.8,745000
W3H036,1649,3,7,33.6,108.9,30.6,575000
W3H037,1113,2,17,73.1,130.7,17.2,564000
W3H038,1469,3,8,50.6,75.4,8.8,566000
W3H039,1081,1,15,76.8,163.5,30.1,457000
W3H040,1317,1,35,34.9,91.1,3,577000
W3H041,3168,6,40,78.1,104.9,19.3,1019000
W3H042,2201,4,49,43.9,113.9,29.8,693000
W3H043,920,3,65,86.5,131.1,24.2,418000
W3H044,1921,3,51,88.9,177.7,20,723000
W3H045,1448,4,33,74.8,85.1,16.3,633000
W3H046,2606,4,23,55.6,79.5,9.8,872000
W3H047,3099,4,60,31.7,77.4,18.7,924000
W3H048,687,1,0,79.5,153,24,327000
W3H049,2024,2,51,66.6,105.9,18.6,725000
W3H050,1970,4,37,35.3,171.2,24.9,773000
W3H051,3572,4,34,67.1,68,31,1010000
